administrative_area_level_1,administrative_area_level_2,state_id
Quebec,Abitibi-Témiscamingue,11
New York,Albany County,55
Ontario,Algoma District,9
Quebec,Bas-Saint-Laurent,11
Saskatchewan,Biggar No. 347,12
Ontario,Brant County,9
Saskatchewan,Buffalo No. 409,12
Michigan,Calhoun County,43
Quebec,Capitale-Nationale,11
Michigan,Cass County,43
Quebec,Centre-du-Québec,11
Saskatchewan,Chaplin No. 164,12
Ontario,Chatham-Kent,9
Quebec,Chaudière-Appalaches,11
New York,Clinton County,55
Nova Scotia,Colchester County,7
Wisconsin,Columbia County,78
Illinois,Cook County,31
Saskatchewan,Corman Park No. 344,12
Quebec,Côte-Nord,11
Nova Scotia,Cumberland County,7
Minnesota,Douglas County,45
Saskatchewan,Dufferin No. 190,12
Saskatchewan,Edenwold No. 158,12
Manitoba,Elton,3
Manitoba,Emerson – Franklin,3
New York,Erie County,55
New York,Essex County,55
Saskatchewan,Estevan No. 5,12
Quebec,Estrie,11
Ontario,Frontenac County,9
Quebec,Gaspésie--Îles-de-la-Madeleine,11
Minnesota,Goodhue County,45
Ontario,Greater Sudbury,9
Saskatchewan,Gull Lake No. 139,12
Nova Scotia,Halifax Regional Municipality,7
Ontario,Hamilton,9
Connecticut,Hartford County,22
Ontario,Hastings County,9
Manitoba,Headingley,3
New York,Herkimer County,55
Saskatchewan,Hillsdale No. 440,12
Saskatchewan,Humboldt No. 370,12
Wisconsin,Jefferson County,78
Ontario,Kenora District,9
Washington,King County,76
Wisconsin,La Crosse County,78
Illinois,Lake County,31
Ontario,Lambton County,9
Ontario,Lanark County,9
Quebec,Lanaudière,11
Saskatchewan,Langenburg No. 181,12
Quebec,Laurentides,11
Quebec,Laval,11
Ontario,Leeds and Grenville United Counties,9
California,Los Angeles County,20
New Brunswick,Madawaska County,4
Minnesota,Mahnomen County,45
Saskatchewan,Maple Creek No. 111,12
Minnesota,Marshall County,45
Quebec,Mauricie,11
Ontario,Middlesex County,9
Wisconsin,Milwaukee County,78
Wisconsin,Monroe County,78
Quebec,Montérégie,11
Quebec,Montreal,11
Saskatchewan,Moose Jaw No. 161,12
Manitoba,N/A,3
Newfoundland and Labrador,N/A,5
Saskatchewan,N/A,12
Yukon,N/A,13
Connecticut,New Haven County,22
New York,New York County,55
Ontario,Nipissing District,9
Saskatchewan,North Battleford No. 437,12
Ontario,Northumberland County,9
New York,Oneida County,55
New York,Onondaga County,55
Saskatchewan,Orkney No. 244,12
Ontario,Ottawa,9
Minnesota,Otter Tail County,45
Quebec,Outaouais,11
Ontario,Parry Sound District,9
Ontario,Perth County,9
Ontario,Peterborough County,9
Indiana,Porter County,32
Saskatchewan,Prince Albert No. 461,12
New Brunswick,Queens County,4
Ontario,Regional Municipality of Durham,9
Ontario,Regional Municipality of Halton,9
Ontario,Regional Municipality of Niagara,9
Ontario,Regional Municipality of Peel,9
Ontario,Regional Municipality of York,9
Manitoba,Rural Municipality of Reynolds,3
Quebec,Saguenay--Lac-Saint-Jean,11
New York,Saratoga County,55
New York,Seneca County,55
Saskatchewan,Sherwood No. 159,12
Michigan,Shiawassee County,43
Ontario,Simcoe County,9
Minnesota,Stearns County,45
Ontario,"Stormont, Dundas and Glengarry United Counties",9
Ontario,Sudbury District,9
Saskatchewan,Swift Current No. 137,12
Ontario,Toronto,9
New Brunswick,Victoria County,4
New York,Washington County,55
Ontario,Waterloo Regional Municipality,9
Michigan,Wayne County,43
Ontario,Wellington County,9
New Brunswick,Westmorland County,4
Saskatchewan,Weyburn No. 67,12
Saskatchewan,Wolseley No. 155,12
Minnesota,Wright County,45
New Brunswick,York County,4