"","SpecificationId","Nom de la spécification","Description","Date d'ajout","Ajouté par:","Date de modification","Modifié par:",""
"","3","Bâti","Bâti","2018-12-14T09:22:44.997","T934608","2018-12-14T09:22:44.997","T934608",""
"","12","Circuit","Circuit","2018-12-14T09:22:45.007","T934608","2018-12-14T09:22:45.007","T934608",""
"","15","Commutateur OPC","","2018-12-14T09:22:45.01","T934608","2018-12-14T09:22:45.01","T934608",""
"","11","Control Point","Control Point","2018-12-14T09:22:45.007","T934608","2018-12-14T09:22:45.007","T934608",""
"","19","Dest. NE","","2018-12-14T09:22:45.013","T934608","2018-12-14T09:22:45.013","T934608",""
"","1","Display/Alarme","","2018-12-14T09:22:44.993","T934608","2018-12-14T09:22:44.993","T934608",""
"","7","GRP","GRP","2018-12-14T09:22:45","T934608","2018-12-14T09:22:45","T934608",""
"","2","Point/No. Alarme","","2018-12-14T09:22:44.997","T934608","2018-12-14T09:22:44.997","T934608",""
"","6","Pt","pt","2018-12-14T09:22:45","T934608","2018-12-14T09:22:45","T934608",""
"","20","RTU #","","2018-12-14T09:22:45.013","T934608","2018-12-14T09:22:45.013","T934608",""
"","4","Réglette alarme","Numéro de la réglette sur l’équipement","2018-12-14T09:22:44.997","T934608","2018-12-14T09:22:44.997","T934608",""
"","14","Réglette mesure","","2018-12-14T09:22:45.01","T934608","2018-12-14T09:22:45.01","T934608",""
"","5","Réglette système","Numéro de la réglette sur le système","2018-12-14T09:22:45","T934608","2018-12-14T09:22:45","T934608",""
"","10","Sense Point","Sense Point","2018-12-14T09:22:45.003","T934608","2018-12-14T09:22:45.003","T934608",""
"","8","Tabs Adresse","Tabs Adresse","2018-12-14T09:22:45","T934608","2018-12-14T09:22:45","T934608",""
"","17","TBOS Channel","TBOS Channel","2018-12-14T09:22:45.01","T934608","2018-12-14T09:22:45.01","T934608",""
"","18","TBOS Disp.","TBOS Disp.","2018-12-14T09:22:45.013","T934608","2018-12-14T09:22:45.013","T934608",""
"","16","TBOS Port","TBOS Port","2018-12-14T09:22:45.01","T934608","2018-12-14T09:22:45.01","T934608",""
"","9","VF Tabs","VF Tabs","2018-12-14T09:22:45.003","T934608","2018-12-14T09:22:45.003","T934608",""
"","13","Équipement de mesure","","2018-12-14T09:22:45.01","T934608","2018-12-14T09:22:45.01","T934608",""