"","SwitchTypeId","Type de switch","Informations","Date d'ajout","Ajouté par:","Date de modification","Modifié par:","",""
"","1","R1200-128","R1200-128","2018-12-13T13:27:21.753","T934608","2018-12-13T13:27:21.753","T934608","",""
"","2","DMS-1U","DMS-1U","2018-12-13T13:27:21.757","T934608","2018-12-13T13:27:21.757","T934608","",""
"","3","RSU","RSU","2018-12-13T13:27:21.757","T934608","2018-12-13T13:27:21.757","T934608","",""
"","4","Access-Node","Access-Node","2018-12-13T13:27:21","T934608","2018-12-14T09:01:46.54","T934608","",""
"","5","AN_UE9K","AN_UE9K","2018-12-13T13:27:21.76","T934608","2018-12-13T13:27:21.76","T934608","",""
"","6","RSC","RSC","2018-12-13T13:27:21.76","T934608","2018-12-13T13:27:21.76","T934608","",""
"","7","RLCM","RLCM","2018-12-13T13:27:21.763","T934608","2018-12-13T13:27:21.763","T934608","",""
"","8","AFC","AFC","2018-12-13T13:27:21.763","T934608","2018-12-13T13:27:21.763","T934608","",""
"","9","DATA","DATA","2018-12-13T13:27:21.763","T934608","2018-12-13T13:27:21.763","T934608","",""
"","10","DATA_EXTE","DATA_EXTE","2018-12-13T13:27:21.763","T934608","2018-12-13T13:27:21.763","T934608","",""
"","11","GTD-5","GTD-5","2018-12-13T13:27:21.767","T934608","2018-12-13T13:27:21.767","T934608","",""
"","12","OPTERA 3500","OPTERA 3500","2018-12-13T13:27:21.767","T934608","2018-12-13T13:27:21.767","T934608","",""
"","13","B281","B281","2018-12-13T13:27:21.767","T934608","2018-12-13T13:27:21.767","T934608","",""
"","14","RLU (SLIC-2000)","RLU (SLIC-2000)","2018-12-13T13:27:21.77","T934608","2018-12-13T13:27:21.77","T934608","",""
"","15","S/RSC","S/RSC","2018-12-13T13:27:21.77","T934608","2018-12-13T13:27:21.77","T934608","",""
"","16","DMS-100","DMS-100","2018-12-13T13:27:21.77","T934608","2018-12-13T13:27:21.77","T934608","",""
"","17","RLU (Access-Node)","RLU (Access-Node)","2018-12-13T13:27:21.77","T934608","2018-12-13T13:27:21.77","T934608","",""
"","18","RSC-S","RSC-S","2018-12-13T13:27:21.773","T934608","2018-12-13T13:27:21.773","T934608","",""
"","19","RCC","RCC","2018-12-13T13:27:21.773","T934608","2018-12-13T13:27:21.773","T934608","",""
"","20","DMS-1","DMS-1","2018-12-13T13:27:21.773","T934608","2018-12-13T13:27:21.773","T934608","",""
"","21","RLU","RLU","2018-12-13T13:27:21.773","T934608","2018-12-13T13:27:21.773","T934608","",""
"","22","SR-500","SR-500","2018-12-13T13:27:21.777","T934608","2018-12-13T13:27:21.777","T934608","",""
"","23","RLU (AFC)","RLU (AFC)","2018-12-13T13:27:21.777","T934608","2018-12-13T13:27:21.777","T934608","",""
"","24","RST","RST","2018-12-13T13:27:21.777","T934608","2018-12-13T13:27:21.777","T934608","",""
"","25","SL1","SL1","2018-12-13T13:27:21.78","T934608","2018-12-13T13:27:21.78","T934608","",""
"","26","DMS-500","DMS-500","2018-12-13T13:27:21.78","T934608","2018-12-13T13:27:21.78","T934608","",""
"","27","A valider","A valider","2018-12-14T08:39:41.453","T934608","2018-12-14T08:39:41.453","T934608","",""
"","28","BU (GTD-5)","BU (GTD-5)","2018-12-14T09:04:04.473","T934608","2018-12-14T09:04:04.473","T934608","",""
"","29","DMS100/200","DMS100/200","2018-12-14T09:06:26.6","T934608","2018-12-14T09:06:26.6","T934608","",""
"","34","R1300-128","R1300-128","2018-12-14T09:10:22.787","T934608","2018-12-14T09:10:22.787","T934608","",""